price,market_cap,volume,date
0.01141,3507897475.6415215,166119758.1636734,2024-12-17 13:03:24.907
0.054319861782576744,3507897475.6415215,166119758.1636734,2024-12-17 14:03:24.907
0.04258873328280223,2754643479.7931323,558213236.0889885,2024-12-17 15:03:45.955
0.036888395722821245,2286842474.587545,723265935.7264316,2024-12-17 16:03:40.803
0.03226983623902532,2045345729.7730718,1283486598.4974113,2024-12-17 17:01:00.474
0.030692404585793934,1877916679.1288018,1470060734.4000123,2024-12-17 18:02:01.183
0.03436921688487563,2106091406.513311,1612513576.1040306,2024-12-17 19:03:55.001
0.031881413203796574,2032405079.677734,1681897944.872457,2024-12-17 20:02:47.282
0.031185042307711443,1966281599.0514832,1741803647.0441015,2024-12-17 21:01:03.022
0.029431851147240316,1825734058.5152102,1803122540.51891,2024-12-17 22:02:44.359
0.02776055791612959,1728055390.3224576,1878507324.1047835,2024-12-17 23:03:43.754
0.027972678627340264,1751294067.6479647,1928363972.4544158,2024-12-18 00:00:57.566
0.027496275917613146,1749031902.5029845,1999782828.0616746,2024-12-18 01:03:46.231
0.027156428555276325,1716665991.4979274,2013684056.240531,2024-12-18 02:03:43.699
0.030882269475351234,1940722855.3857555,2142906459.7523031,2024-12-18 03:03:32.300
0.031017959250040045,1958870695.10142,2180746900.3497024,2024-12-18 04:03:45.378
0.030403387483853815,1908319751.8364823,2243489504.6898174,2024-12-18 05:03:41.749
0.03019082525500889,1889467412.9257069,2281996116.7624803,2024-12-18 06:03:40.569
0.028955459449594483,1816015174.7175763,2310353641.2709007,2024-12-18 07:03:53.244
0.030456189019373848,1913968921.7923343,2360066024.913973,2024-12-18 08:08:28.847
0.03293051433350343,2085216807.3211782,2458873760.801381,2024-12-18 09:03:46.081
0.03321837865065494,2082199404.8769946,2553628791.4052644,2024-12-18 10:03:43.296
0.034523867050705315,2175629441.3791203,2655144115.986316,2024-12-18 11:00:13.343
0.03419617338204477,2174911957.756487,2830692304.0284357,2024-12-18 12:02:57.003
0.03390273966825728,2131139644.0828078,2900820988.993117,2024-12-18 13:00:57.647
0.03235230836543462,2039879487.6803722,2643287979.2405167,2024-12-18 14:00:44.191
0.03200029174741023,2014531660.0110133,2199575836.9838357,2024-12-18 15:03:55.357
0.034298410914636354,2118607092.7267528,2107857132.1949842,2024-12-18 16:03:41.391
0.03462688860018543,2191874740.6315,2008631236.8017876,2024-12-18 17:02:10.369
0.0364259596428619,2247154954.8661757,1962842068.7748497,2024-12-18 18:00:05.892
0.03835478637338752,2409941773.836646,2049598893.6342185,2024-12-18 19:03:40.550
0.036890503997256296,2318952198.262048,2055131242.5399432,2024-12-18 20:02:33.689
0.03581003994645151,2265555326.4195304,2108665403.696475,2024-12-18 21:03:45.946
0.03672597897066545,2317022830.267147,2163605066.0157895,2024-12-18 22:03:29.966
0.0371770385562573,2346860477.333135,2168477391.9106956,2024-12-18 23:03:52.144
0.03584166948431309,2237232896.1293106,2178426857.865995,2024-12-19 00:08:31.615
0.03415850847818935,2139981566.6846895,2166892375.1134796,2024-12-19 01:06:34.869
0.03328478544838903,2093026229.8895316,2193564758.903165,2024-12-19 02:00:06.717
0.03345504003335412,2102794374.118262,2200005822.769496,2024-12-19 03:03:41.152
0.033600625302885226,2112169412.223289,2242463511.52227,2024-12-19 04:03:57.596
0.03209723381920647,2025361575.5564911,2217424976.9239173,2024-12-19 05:01:27.156
0.032582047384131646,2048081017.3975606,2281245856.5806084,2024-12-19 06:03:48.148
0.03280620094516077,2067787959.0534463,2314481223.852864,2024-12-19 07:03:44.498
0.03395102309625359,2135552815.6472359,2377833568.665074,2024-12-19 08:03:53.696
0.03290381965379998,2068138307.6122887,2329371157.5306797,2024-12-19 09:03:39.568
0.03211371434986348,2021031947.0085664,2261970292.417023,2024-12-19 10:01:20.194
0.03174359236837322,2019946098.059721,2210434061.205085,2024-12-19 11:03:46.557
0.031881192612836964,1986044178.9060485,2120058493.9875753,2024-12-19 12:00:06.026
0.03055936387866544,1932724118.8387365,2035835801.1806457,2024-12-19 13:03:55.296
0.029636136297544705,1861802258.180961,1982152293.134156,2024-12-19 14:03:57.322
0.029742202861879913,1863460276.5427203,1968204165.244668,2024-12-19 15:01:28.166
0.03075833248032073,1933303788.2244337,1978152369.1220949,2024-12-19 16:03:13.494
0.031024562210377277,1950710655.6169586,1947469674.3790984,2024-12-19 17:03:47.456
0.0302847371225614,1904243966.4882607,1878242899.0175047,2024-12-19 18:04:31.380
0.028655303510940665,1800533742.8962746,1756560469.14338,2024-12-19 19:03:54.122
0.027895803092885852,1738229248.259157,1674091248.5057101,2024-12-19 20:03:55.797
0.02805667243919255,1755990055.739084,1630696932.5712054,2024-12-19 21:02:11.842
0.028846637652757384,1810858676.8147275,1606573687.3895154,2024-12-19 22:00:53.049
0.029338138037758914,1845550935.6955755,1605180931.5004227,2024-12-19 23:03:50.479
0.028863661661726506,1820435275.6438797,1550610697.788328,2024-12-20 00:03:48.127
0.029142713741418733,1831922528.923067,1506329542.7550287,2024-12-20 01:03:45.198
0.028067106484050395,1764710382.6886091,1426188746.6008415,2024-12-20 02:01:15.762
0.02954896282909512,1861151447.51577,1409797880.374783,2024-12-20 03:03:56.500
0.028780207207975663,1805401352.9863734,1351820071.5808492,2024-12-20 04:03:56.060
0.027680287373155556,1739923558.18414,1249899585.2712114,2024-12-20 06:03:31.250
0.02789428177109391,1745123720.2744923,1241320743.184247,2024-12-20 07:03:53.403
0.02721934611908312,1710227165.8461037,1188595919.4216135,2024-12-20 08:03:49.394
0.025691489044174155,1638284019.7704663,1153697678.6856632,2024-12-20 09:03:45.756
0.024642057407487775,1567872356.5253346,1160072630.7838411,2024-12-20 10:03:52.682
0.024125186090701287,1511401640.394103,1165200897.0144114,2024-12-20 11:03:52.131
0.02317668013566719,1462781963.198841,1160918100.4222145,2024-12-20 12:03:38.503
0.02453063975882888,1549985170.3180752,1219639155.533181,2024-12-20 13:04:03.423
0.02598658765798658,1635655491.6773305,1266101859.0738,2024-12-20 14:03:19.248
0.02581792661401853,1625535023.2540514,1261946556.4085054,2024-12-20 15:03:57.021
0.02681072150422189,1685543009.7577112,1241770294.3449943,2024-12-20 16:03:51.323
0.02615337042605079,1642574639.3636584,1203789107.7694101,2024-12-20 17:08:29.565
0.027411952957459757,1714144803.9529283,1212785906.556985,2024-12-20 18:03:47.236
0.027281121954679192,1709446764.5660155,1157085193.5370727,2024-12-20 19:01:33.504
0.02765632679805417,1738155716.6266997,1132533468.4319983,2024-12-20 20:03:55.928
0.027659015282592063,1739129066.1743221,1068923579.3732675,2024-12-20 21:03:41.815
0.02752617455399171,1731865045.0497782,1029872605.845731,2024-12-20 22:03:55.443
0.02755230536144999,1733077245.8292782,1003141938.1608276,2024-12-20 23:03:50.766
0.027865175414752516,1751439813.933644,1002219202.5734949,2024-12-21 00:03:50.124
0.028373747463009084,1783851233.5598829,976859284.4166231,2024-12-21 01:03:51.253
0.030497831131315954,1920761853.085586,1043504504.6859645,2024-12-21 02:00:49.421
0.029913142675759178,1880913593.5325172,1024716335.2864764,2024-12-21 03:03:08.854
0.02952629679913511,1855027117.608477,1008666378.0218269,2024-12-21 04:03:51.755
0.02993761375633128,1880821806.591599,1006266390.316005,2024-12-21 05:03:03.880
0.030891414540058146,1943926809.069955,1029430914.745513,2024-12-21 06:00:37.978
0.03170973433985238,1995021200.7301345,1033589085.5778404,2024-12-21 07:03:53.736
0.031157090784795994,1957886580.1596837,1023529634.6769674,2024-12-21 08:03:50.183
0.03063658211359756,1926354820.2191203,957119149.193087,2024-12-21 09:03:49.717
0.030315964485581593,1906671184.7229981,898882027.7957565,2024-12-21 10:03:49.742
0.03006548542797647,1884283144.3703887,840674013.9048532,2024-12-21 11:03:52.001
0.03039550589388741,1907580302.059758,793381802.4296001,2024-12-21 12:08:30.375
0.02993713850626788,1886183213.669559,750024170.4633816,2024-12-21 13:03:15.501
0.029482848817478192,1853303554.5282671,711839764.8634826,2024-12-21 14:03:45.550
0.029193943881377766,1834862875.1199312,691929307.8319952,2024-12-21 15:07:31.304
0.030358163561553346,1906838378.972244,679982734.7597336,2024-12-21 16:03:48.840
0.03017625797641365,1898726944.5783553,685782722.2796654,2024-12-21 17:01:28.250
0.030923745277682053,1948116434.2513463,689386533.491928,2024-12-21 18:03:48.018
0.029521581140059847,1864903120.3411787,673265867.1844282,2024-12-21 19:08:32.654
0.029089718874156133,1824244349.253755,670691918.090603,2024-12-21 20:01:19.433
0.029211475997453388,1838522581.8075874,669919789.5056624,2024-12-21 21:01:19.332
0.02903909533409952,1823073507.6664462,654543682.4264911,2024-12-21 22:01:12.046
0.028733608453725717,1799960785.4910846,651081689.1868482,2024-12-21 23:04:05.675
0.0285645521589105,1794219416.5047793,643660510.3577012,2024-12-22 00:03:48.573
0.027952254702980392,1757816664.1859548,641444350.9908338,2024-12-22 01:00:09.567
0.02710285488438591,1703992222.1478913,592824783.1091022,2024-12-22 02:02:47.450
0.027286766841563326,1722063996.2368782,582946549.6685308,2024-12-22 02:36:47.000
